ID,SKU,UPC,MPN,VPN,Category,Description,Brand,Color,Size
{39C89502-0249-4E8F-9697-00263FE280CC},BRA36736135R,192790327280,EBPG05ARXA,,Bike - Parts - Brakes,Brake Pad shimano g05a-rx resin black 1 pair,Shimano,Black,
{60D19208-943B-495B-8D1D-0059C6FE2879},JAG70704148M,4715910024065,94SS3500,CA4433,Bike - Parts - Cables & Housing,Jagwire Sport brake cable slick stainless 1.5x3500mm sramshimano mountain tandem,shimano,,
{5360A72F-6F1F-4598-9CCC-00FB96D65C86},430700,601479164998,430700,430700,Bike - Parts - Tubes,Bontrager - Tube Standard PV48 - 29 x 2.00 - 2.40 ,Bontrager,,
{1887E8B4-AF1C-40B7-AF20-01728A4F8FFB},FUL49635717D,8033959999103,4-R5-004,HU6095,Bike - Parts - Bearings,Fulcrum Cartridge bearing for racing 5 7 sport and red wind,fulcrum,,
{62DEE05F-AE8E-4448-993A-017698329469},JAG53944408K,4715910022788,BSA028,BR4059,Bike - Parts - Cables & Housing,Jagwire - road sport indexed adjuster barrel,jagwire,Black,
{6F3ABF21-FE1C-4FDB-A45D-01BAB18A84EE},580941,840226145457,BAA1054,,Bike - Parts - Bearings,Hellbender 36x45 bearing 41mm each,Cane Creek,,
{6E1523B5-D4FB-48F0-8363-01CDD5357599},JAG70556074M,4715910024041,94SS2750,CA4431,Bike - Parts - Cables & Housing,Jagwire - mountain sport slick stainless brake cable - 2750mm,jagwire,,2750MM
{FE6E711C-F816-4923-92F1-01F63BFC6FA2},562238,710845804755,00.2518.030.011,,Bike - Parts - Chains,PC-GX Eagle Solid-Pin Chain 126 Link Silver/Gray,,,
{02388412-FE85-4403-B0F7-01FCDE40D513},W529222,601479565245,W529222,W529222,Bike - Parts - Suspension,Suspension Part trek bolt m12 x 1.25 x 21 alloy black,Trek,,
{2779553D-8784-4E5B-91DE-02060747AB45},517617,710845760068,00.5318.003.005,,Bike - Parts - Brakes - Pads,Sram - avid guide/trail disc brake pads - sintered compound steel,Sram,,
{8C4AF68A-7D6D-4D54-82EC-02564AF26862},BRE34351337M,5055308116880,DMR-G-BREN2-THICK-GU,,Bike - Parts - Grips and Tape - Grips,DMR DeathGrip Flangeless Grips - Thick Lock-On Gum,DMR,,
{2C083D73-3D1E-4CEE-9606-025A5A842250},415893,689228289635,ISMBTR1A,,Bike - Parts - Electric,Shim Di2battryexternal sm-btr1,Shimano,,
{1C5E1A9A-967A-478E-8C0F-03682127FA96},TUB36831964M,072774632183,547035Q4,63218,Bike - Parts - Tubes,Sunlite - 26 x1.90-2.35 tube - presta,sunlite,,26 X1.9-2.35
