ID,SKU,UPC,MPN,VPN,Category,Description,Brand,Color,Size,CategoryValid,CorrectedCategory
{39C89502-0249-4E8F-9697-00263FE280CC},BRA36736135R,192790327280,EBPG05ARXA,,Bike - Parts - Brakes,Shimano - Pad Shimano G05a-rx Resin Black - 1,Shimano,Black,,TRUE,Bike - Parts - Brakes
{60D19208-943B-495B-8D1D-0059C6FE2879},JAG70704148M,4715910024065,94SS3500,CA4433,Bike - Parts - Cables & Housing,Shimano - Sport Brake Cable Slick Stainless 1.5x3500mm Sramshimano - Mountain - Tandem,shimano,,,TRUE,Bike - Parts - Cables & Housing
{5360A72F-6F1F-4598-9CCC-00FB96D65C86},430700,601479164998,430700,430700,Bike - Parts - Tubes,Bontrager - Tube Standard Pv48 - 29 X 2.00 - 2.40,Bontrager,,,TRUE,Bike - Parts - Tubes
{1887E8B4-AF1C-40B7-AF20-01728A4F8FFB},FUL49635717D,8033959999103,4-R5-004,HU6095,Bike - Parts - Bearings,Fulcrum - Cartridge Bearing For Racing 5 7 Sport And - Red - Wind,fulcrum,,,TRUE,Bike - Parts - Bearings
{62DEE05F-AE8E-4448-993A-017698329469},JAG53944408K,4715910022788,BSA028,BR4059,Bike - Parts - Cables & Housing,Jagwire - Road Sport Indexed - Adjuster - Barrel,jagwire,Black,,TRUE,Bike - Parts - Cables & Housing
{6F3ABF21-FE1C-4FDB-A45D-01BAB18A84EE},580941,840226145457,BAA1054,,Bike - Parts - Bearings,Cane Creek - 36x45 Bearing - 41mm - Each,Cane Creek,,,TRUE,Bike - Parts - Bearings
{6E1523B5-D4FB-48F0-8363-01CDD5357599},JAG70556074M,4715910024041,94SS2750,CA4431,Bike - Parts - Cables & Housing,Jagwire - Mountain Sport Slick Stainless Brake Cable - 2750mm,jagwire,,2750MM,TRUE,Bike - Parts - Cables & Housing
{FE6E711C-F816-4923-92F1-01F63BFC6FA2},562238,710845804755,00.2518.030.011,,Bike - Parts - Chains,Pc-gx Eagle Solid-pin Chain 126 Link Silver/gray,,,,TRUE,Bike - Parts - Chains
{02388412-FE85-4403-B0F7-01FCDE40D513},W529222,601479565245,W529222,W529222,Bike - Parts - Suspension,Trek - Part Trek Bolt M12 X 1.25 X 21 - Alloy - Black,Trek,,,TRUE,Bike - Parts - Suspension
{2779553D-8784-4E5B-91DE-02060747AB45},517617,710845760068,00.5318.003.005,,Bike - Parts - Brakes - Pads,Sram - Avid Guide/trail Disc Brake Pads - Sintered Compound Steel,Sram,,,TRUE,Bike - Parts - Brakes - Pads
