Category,Brand,Description,Keyword,UPC,MSRP,Quantity,SKU,Color,Size,StyleNumber,StyleName,ParentCategory,Processed_Description,Category_Encoded,Predicted_Category
Clothing - Winter - Outerwear,Obermeyer,Jette Jacket Glacier melt 12,Obermeyer,888555767674,299.0,1,JET243078952,Glacier melt,12,11210,Jette Jacket,Clothing ,"['jette', 'jacket', 'glacier', 'melt', '12']",53,
Clothing - Winter - Outerwear - Mens,Obermeyer,Obermeyer - Keystone Pant - Black - LS,Obermeyer,888555573336,109.5,0,KEY19725340S,Black,LS,25102,Keystone Pant,Clothing ,"['obermeyer', 'keystone', 'pant', 'black', 'ls']",55,
Ski Hardgoods - Boots - Women,Nordica,Nordica - Speedmachine 75 W Ski Boots - Black/Anthracite/Purple - 23.5,Nordica,888341789040,400.0,0,SPE39922955,Black - Anthracite - Purple,23.5,050H4803735,SPEEDMACHINE 75 W,Ski Hardgoods ,"['nordica', 'speedmachine', '75', 'w', 'ski', 'boots', 'black/anthracite/purple', '23.5']",86,
Accessories - Winter - Goggles,Smith Optics,"Smith - I/O MAG Goggles - Sunrise, ChromaPop Sun Black",Smith Optics,716736827513,270.0,2,IOM31217987S,Sunrise | ChromaPop Sun Black,OS,M00427,I/O MAG,Accessories ,"['smith', 'i/o', 'mag', 'goggles', 'sunrise', 'chromapop', 'sun', 'black']",17,
Ski Hardgoods - Skis - Women,Nordica,Santa Ana 93 Flat Blue - Rasperry 158,Nordica,888341757582,750.0,0,SAN291544758,Blue - Rasperry,158,0A031800001,SANTA ANA 93 (flat),Ski Hardgoods ,"['santa', 'ana', '93', 'flat', 'blue', 'rasperry', '158']",91,
Snowboard Hardgoods - Bindings - Men,Union,Union - Strata Snowboard Bindings - White - M's M,Union,810033086137,319.95,0,STR10380642M,White,M,3211202,Strata,Snowboard Hardgoods ,"['union', 'strata', 'snowboard', 'bindings', 'white', ""'s""]",95,
Accessories - Winter - Socks,Locale Outdoor,Locale - Ranges Merino Socks - Navy/Gold - M,Locale Outdoor,811110197395,27.95,0,RAN25178547M,Navy,M,S_105,RANGES MERINO SOCKS - SKI,Accessories ,"['locale', 'ranges', 'merino', 'socks', 'navy/gold']",20,
Accessories - Summer - Hats & Ball Caps,Coal,Coal - Bridger Fleece 5-Panel Cap - Olive - OSFM,Coal,842852197138,34.0,0,COA35751851M,Olive,OSFM,2202526,Bridger,Accessories ,"['coal', 'bridger', 'fleece', '5-panel', 'cap', 'olive', 'osfm']",4,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Toddler Scrambler Mitt T2 - Crafty Black - TDS,Dakine,194626501642,30.0,2,DAK3597271S,CRAFTYBLACK,TDS,10002535,DAKINE SCRAMBLER MITT T2,Accessories ,"['dakine', 'toddler', 'scrambler', 'mitt', 't2', 'crafty', 'black', 'tds']",16,Accessories - Winter - Gloves & Mittens
Accessories - Winter - Socks,Stance,Stance - Manga Mudhorn Sock - Black - M,Stance,190107479813,19.98,0,MAN1861804M,Black,M,A545D21MDH,MANGA MUDHORN,Accessories ,"['stance', 'manga', 'mudhorn', 'sock', 'black']",20,
Clothing - Winter - Outerwear,Obermeyer,Foundation Jacket Stone 2XL,Obermeyer,888555821161,279.0,1,FOU24749002L,Stone,2XL,21124,Foundation Jacket,Clothing ,"['foundation', 'jacket', 'stone', '2xl']",53,
Logo Merchandise,Rock Canyon,Rock Canyon - Shred Zeppelin (Skier) Cap - Charcoal - OS,Rock Canyon,850011260777,24.99,6,ROC41401717S,Charcoal,OS,112-Charcoal-OS,Shred Zeppelin Beanie,Logo Merchandise,"['rock', 'canyon', 'shred', 'zeppelin', 'skier', 'cap', 'charcoal', 'os']",69,
Clothing - Winter - Outerwear - Mens,Obermeyer,Obermeyer - Orion Pant - Black - M's 2XL,Obermeyer,888555514711,189.0,0,ORI17587748L,Black,2XL,25007,Orion Pant,Clothing ,"['obermeyer', 'orion', 'pant', 'black', ""'s"", '2xl']",55,
Accessories - Winter - Gloves & Mittens,Dakine,Crossfire Glove - Torn On - M,Dakine,194626402727,35.0,0,CRO21370245M,Torn On,M,10003137,CROSSFIRE GLOVE,Accessories ,"['crossfire', 'glove', 'torn']",16,
"Accessories - Winter - Hats, Hoods, Collars",Coal Headwear,Coal - Wayne - Black - OSFA,Coal Headwear,840056936676,27.0,3,COA12501933K,BLK,OSFM,2202820,Wayne,Accessories ,"['coal', 'wayne', 'black', 'osfa']",18,"Accessories - Winter - Hats, Hoods, Collars"
Accessories - Summer - Hydration Packs/Bladders/filters,Dakine,Dakine - Women's Drafter Hydration Bag - Sparrow - 10L - OS,Dakine,194626391120,150.0,0,WOM25975699S,Sparrow,OS,10003403,WOMEN'S DRAFTER 10L,Accessories ,"['dakine', 'women', ""'s"", 'drafter', 'hydration', 'bag', 'sparrow', '10l', 'os']",6,
Clothing - Winter - Baselayer - Womens,Obermeyer,Obermeyer - Discover Crew - Floral It - W's S,Obermeyer,888555574715,69.0,0,DIS21936898S,Floral It!,S,19032,Discover Crew,Clothing ,"['obermeyer', 'discover', 'crew', 'floral', 'w', ""'s""]",51,
Accessories - Summer - Hydration Packs/Bladders/filters,DAKINE,Dakine - Women's Drafter Hydration Bag - Deep Lake - 10L - OS,DAKINE,194626485546,160.0,1,WOM26761786S,DEEP LAKE,OS,10003403,WOMENS DRAFTER 10L,Accessories ,"['dakine', 'women', ""'s"", 'drafter', 'hydration', 'bag', 'deep', 'lake', '10l', 'os']",6,Accessories - Winter - Bags
Snowboard Hardgoods - Boots - Men,Salomon,Salomon - Faction BOA Snowboard Boots - Black/White - M's 25.5,Salomon,193128666033,229.95,0,FAC286318915,Black,25.5,L41342400,FACTION BOA,Snowboard Hardgoods ,"['salomon', 'faction', 'boa', 'snowboard', 'boots', 'black/white', ""'s"", '25.5']",103,
X-Country Hardgoods - Boots,Fischer,Fischer - OTX Adventure XC Boots - Black - 39,Fischer,9002972600777,189.0,0,OTX197196639,Black,39,S35021,OTX ADVENTURE,Cross Country,"['fischer', 'otx', 'adventure', 'xc', 'boots', 'black', '39']",106,X-Country Hardgoods - Boots
Accessories - Winter - Gloves & Mittens,Burton,Burton - Power Stretch Glove Liner - True Black - L/XL,Burton,632059418910,24.95,0,POW28382077X,True Black,L\X,131691,Powerstretch Liner,Accessories ,"['burton', 'power', 'stretch', 'glove', 'liner', 'true', 'black', 'l/xl']",16,
Clothing - Socks,Stance,Stance - Complex Camo Crew Socks - Black - M,Stance,190107474443,16.98,0,COM21113677M,Black,M,A558C21COM,COMPLEX CAMO CREW,Clothing ,"['stance', 'complex', 'camo', 'crew', 'socks', 'black']",44,
Accessories - Winter - Bags,Dakine,Heli Pack 12L Shadow Dash Os,Dakine,610934384666,80.0,0,HEL23721839S,Shadow Dash,OS,10003261,HELI PACK 12L,Accessories ,"['heli', 'pack', '12l', 'shadow', 'dash', 'os']",12,
Accessories - Winter - Gloves & Mittens,Dakine,Dakine - Tahoe Glove - Solstice Floral - W's S,Dakine,194626405537,42.0,0,TAH31761734S,Solstice Floral,S,10003176,TAHOE GLOVE,Accessories ,"['dakine', 'tahoe', 'glove', 'solstice', 'floral', 'w', ""'s""]",16,Accessories - Winter - Gloves & Mittens
Accessories - Winter - Socks,Stance,Stance - Darth By Jaz Sock - Spacedust - L,Stance,190107558297,19.99,0,DAR21183997L,SPACEDUST,L,A555D23DAR,DARTH BY JAZ,Accessories ,"['stance', 'darth', 'jaz', 'sock', 'spacedust', 'l']",20,
Clothing - Pants - Mens,Quiksilver,Quiksilver - Elmwood Pant - True Black - M's Small,Quiksilver,194476020492,169.95,0,ELM1965167S,True Black,Small,EQYTP03149,ELMWOOD PT,Clothing ,"['quiksilver', 'elmwood', 'pant', 'true', 'black', ""'s"", 'small']",34,
Clothing - Shirts - Mens,Gear For Sports,SNOWB Ride/Repeat-Saltwater-SM,Gear For Sports,197837463372,24.99,8,SNO26512072M,Saltwater,SM,GDH200,AP003814773: SNOWBOARDER RIDE/REPEAT,Clothing ,"['snowb', 'ride/repeat-saltwater-sm']",36,
Clothing - Winter - Outerwear - Womens,Burton,Women's Crown Weatherproof Long Full-Zip Fleece Trellis S,Burton,190450928372,94.95,0,WOM48236819S,Trellis,S,220191,Women's Crown Weatherproof Long Full-Zip Fleece,Clothing ,"['women', ""'s"", 'crown', 'weatherproof', 'long', 'full-zip', 'fleece', 'trellis']",59,
